skill_id,concordance,mae,envelope_mean,envelope_std,envelope_median,n_predictions
120,0.8308680873180874,0.1691319126819127,0.1691319126819127,0.09995575370732723,0.10915000000000008,1924
61,0.8296055332261522,0.17039446677384784,0.17039446677384784,0.1560691452581994,0.12295,14928
16,0.8295018395879323,0.17049816041206772,0.17049816041206772,0.17888474963333503,0.08609999999999995,2718
17,0.8263779170396897,0.17362208296031037,0.17362208296031037,0.18188463347491074,0.10354999999999995,6702
38,0.8250567771305497,0.1749432228694503,0.1749432228694503,0.18361950790130466,0.09929999999999994,20429
54,0.8226283845650753,0.17737161543492477,0.17737161543492477,0.185530601630656,0.09729999999999994,1529
57,0.8210867016793101,0.1789132983206899,0.1789132983206899,0.18701776860430472,0.09239999999999993,15423
22,0.8199012119542763,0.1800987880457237,0.1800987880457237,0.16891921146301206,0.11570000000000003,7261
82,0.8186231024887927,0.1813768975112073,0.1813768975112073,0.17175277184343243,0.10230000000000006,12938
119,0.8168249655172414,0.18317503448275865,0.18317503448275865,0.033745823521494286,0.1725,725
2,0.8122289676782917,0.18777103232170833,0.18777103232170833,0.2037032210114157,0.08719999999999994,17233
79,0.8117654489164087,0.18823455108359133,0.18823455108359133,0.11112229403536156,0.1703,3230
9,0.8110153356764692,0.18898466432353075,0.18898466432353075,0.1779541080107993,0.10999999999999999,22477
50,0.8096781291611185,0.19032187083888152,0.19032187083888152,0.13247879530886747,0.1513,3004
53,0.8086744689019708,0.1913255310980292,0.1913255310980292,0.19324051570474463,0.11380000000000001,7814
56,0.8060305504309276,0.19396944956907236,0.19396944956907236,0.15741347971522004,0.17969999999999997,36317
0,0.8047196471267211,0.19528035287327894,0.19528035287327894,0.20034862809864717,0.10870000000000002,12129
37,0.8046824074074074,0.1953175925925926,0.1953175925925926,0.17425249910052265,0.1357,1512
97,0.8029788990825688,0.19702110091743116,0.19702110091743116,0.12455006212987023,0.1673,109
29,0.8022270531400966,0.19777294685990338,0.19777294685990338,0.07557364274776666,0.17070000000000007,207
118,0.8019048424068768,0.19809515759312324,0.19809515759312324,0.0920511557910355,0.18790000000000007,6980
30,0.7984441544015551,0.20155584559844486,0.20155584559844486,0.1900159938732133,0.12540000000000007,3601
3,0.7973599517733346,0.20264004822666534,0.20264004822666534,0.17920603840787996,0.14470000000000005,9953
62,0.7956437857914906,0.2043562142085094,0.2043562142085094,0.18442057672539527,0.1311,254425
60,0.7938712038380007,0.20612879616199936,0.20612879616199936,0.18862397843826217,0.13590000000000002,8963
21,0.7923888195167071,0.20761118048329288,0.20761118048329288,0.18090385189906918,0.15060000000000007,8649
63,0.7911613239268106,0.20883867607318937,0.20883867607318937,0.17723047313380696,0.12060000000000004,48477
39,0.7881374083129584,0.21186259168704158,0.21186259168704158,0.14209658538507342,0.19494999999999996,818
83,0.7871588607594937,0.21284113924050635,0.21284113924050635,0.18691741976775053,0.14080000000000004,1738
15,0.7854605030648911,0.21453949693510888,0.21453949693510888,0.22447652338766214,0.12430000000000008,23655
73,0.7850795511221945,0.21492044887780548,0.21492044887780548,0.09300567015401806,0.21350000000000002,401
71,0.7812710388856645,0.21872896111433546,0.21872896111433546,0.17416976440266319,0.17049999999999998,1723
77,0.7791493184840426,0.2208506815159575,0.2208506815159575,0.18050596047900055,0.1755,6016
64,0.7791410795454545,0.2208589204545455,0.2208589204545455,0.12751827090425494,0.2027,1760
5,0.7774253216606977,0.22257467833930233,0.22257467833930233,0.19925447086930223,0.15449999999999997,82929
81,0.7760074893723431,0.22399251062765693,0.22399251062765693,0.14786139683814173,0.20140000000000002,7998
26,0.7751703232611528,0.2248296767388472,0.2248296767388472,0.16425092742226058,0.18979999999999997,16117
28,0.7705072481426449,0.22949275185735513,0.22949275185735513,0.19340007390779695,0.16780000000000006,33650
66,0.7687795898993735,0.23122041010062655,0.23122041010062655,0.15904893646975427,0.19900000000000007,5267
20,0.767771627450143,0.23222837254985695,0.23222837254985695,0.22955760544769435,0.13479999999999998,23417
52,0.7673026888604353,0.23269731113956466,0.23269731113956466,0.1938503881135245,0.1764,3905
10,0.7664222359372245,0.23357776406277553,0.23357776406277553,0.1815448259084182,0.17930000000000001,5671
65,0.761186559679037,0.23881344032096294,0.23881344032096294,0.17348257921791171,0.20279999999999998,3988
40,0.76008125,0.23991875,0.23991875,0.2542175518361054,0.09265000000000001,432
45,0.7568716252019386,0.2431283747980614,0.2431283747980614,0.18861385109676923,0.20210000000000003,15475
43,0.7560367741935483,0.24396322580645163,0.24396322580645163,0.17517115237351355,0.21810000000000007,310
102,0.7552989670242352,0.24470103297576482,0.24470103297576482,0.10854631450039813,0.24719999999999992,2517
34,0.751732288304471,0.248267711695529,0.248267711695529,0.17680042164816354,0.21760000000000002,35629
74,0.7478377416860016,0.25216225831399847,0.25216225831399847,0.19579679880621095,0.20420000000000005,1293
31,0.7476130381462596,0.25238696185374043,0.25238696185374043,0.18184004656460442,0.20840000000000003,15493
67,0.7443921448730009,0.2556078551269991,0.2556078551269991,0.15441799409070692,0.2259,4252
12,0.7433062103604835,0.25669378963951656,0.25669378963951656,0.22611228434767733,0.18280000000000007,172019
84,0.7418925549227013,0.2581074450772986,0.2581074450772986,0.17275393327695834,0.23360000000000003,2458
75,0.7412515151515151,0.2587484848484849,0.2587484848484849,0.22309724998203867,0.22560000000000002,759
76,0.7372649045521292,0.26273509544787077,0.26273509544787077,0.13479264414583175,0.26335000000000003,1362
109,0.7359207142857143,0.26407928571428574,0.26407928571428574,0.1530991649749694,0.24319999999999997,140
72,0.7285284559348046,0.2714715440651953,0.2714715440651953,0.21550646411474556,0.19169999999999998,46261
96,0.7261220183486239,0.2738779816513761,0.2738779816513761,0.144184401194236,0.25460000000000005,109
13,0.7247558272015191,0.2752441727984809,0.2752441727984809,0.1613794147515896,0.2606,4213
70,0.7192614173228347,0.28073858267716534,0.28073858267716534,0.1851430795705938,0.25370000000000004,1270
14,0.7143797922781666,0.2856202077218334,0.2856202077218334,0.21776230162057997,0.2188,8858
24,0.7098078826097503,0.2901921173902498,0.2901921173902498,0.2837206202031084,0.09850000000000003,4123
48,0.706786381500967,0.29321361849903305,0.29321361849903305,0.24369664339856517,0.2158000000000001,48089
89,0.7014813829787234,0.2985186170212766,0.2985186170212766,0.2064115355670208,0.30565,564
19,0.7009528287577734,0.2990471712422266,0.2990471712422266,0.21612838660813932,0.21349999999999997,6593
105,0.6925622253720765,0.3074377746279235,0.3074377746279235,0.2619773764752053,0.24510000000000004,1411
42,0.6750288629737609,0.3249711370262391,0.3249711370262391,0.2475621807663267,0.31000000000000005,343
49,0.6660759786637737,0.33392402133622634,0.33392402133622634,0.20667175553784375,0.33904999999999996,22122
68,0.6502020696142992,0.34979793038570084,0.34979793038570084,0.3270373810018071,0.11445,4252
47,0.6226271047659039,0.3773728952340961,0.3773728952340961,0.3228729531025877,0.23619999999999997,4763
87,0.6182546218487395,0.3817453781512606,0.3817453781512606,0.29962554584208007,0.2989,238
112,0.615057654723127,0.38494234527687293,0.38494234527687293,0.268831038181804,0.4509,307
46,0.5991096818465378,0.40089031815346227,0.40089031815346227,0.30486637220266044,0.2459,8015
103,0.5823928783382788,0.41760712166172115,0.41760712166172115,0.2837580428003635,0.3649,337
41,0.4753461333333333,0.5246538666666667,0.5246538666666667,0.2924051230187823,0.634,375
110,0.2520179611650485,0.7479820388349515,0.7479820388349515,0.20295213665636497,0.8186,206
