epoch,valid_auc,valid_acc,train_loss,best_auc_so_far,best_epoch_so_far,mastery_corr,gain_corr,mastery_ci_low,mastery_ci_high,gain_ci_low,gain_ci_high,mean_mastery_variance,min_mastery_variance,max_mastery_variance,constraint_loss_share,alignment_loss_share,lag_loss_share,retention_loss_share,seed
12,0.7178918752761155,0.7513649767880952,0.531492,0.7178918752761155,12,0.01782358334478795,0.08486949278393593,-0.327489320161429,0.3589362511612064,-0.26619549935709025,0.4160560884935475,0.013821,0.013123,0.014496,0.028221,-0.084755,-0.004309,0.000033,21
13,0.718044159640597,0.7513552443332782,0.537089,0.718044159640597,13,0.020456076682812897,0.08315718097071904,-0.3251362732565487,0.3612282565650629,-0.2677970496314477,0.41462909479016924,0.013791,0.013161,0.014412,0.039036,-0.072380,-0.004605,0.0,21
14,0.7170040937782169,0.7513941741525465,0.536536,0.718044159640597,13,0.014975000617815936,0.08591014722215068,-0.33003070202384477,0.3564514624453669,-0.2652212121687646,0.4169225451872081,0.013573,0.012680,0.014519,0.035524,-0.075529,-0.004629,0.000017,21
15,0.7186662208964979,0.751695880251876,0.531148,0.7186662208964979,15,0.01490716528920469,0.0873255733129985,-0.3300911608535149,0.35639223145923893,-0.2638949023150948,0.41810007479452516,0.013097,0.012451,0.014061,0.028311,-0.083224,-0.004977,0.000042,21
16,0.7193968939269411,0.7518321346193151,0.529351,0.7193968939269411,16,0.016831943395266526,0.08104818563082868,-0.32837458555858373,0.35807180234755537,-0.26976696194431665,0.4128692725861279,0.012967,0.012306,0.013779,0.028040,-0.083495,-0.005320,0.000036,21
17,0.7199389092111554,0.7521825029927298,0.528008,0.7199389092111554,17,0.01702655967043059,0.07846564247335094,-0.32820089385232304,0.3582415026246916,-0.27217519995585915,0.41071092506083906,0.012924,0.012352,0.013634,0.027771,-0.083765,-0.005596,0.000033,21
18,0.7203474643787188,0.7522798275409006,0.529291,0.7203474643787188,18,0.018879816376893867,0.07933739775982006,-0.32654572341411575,0.35985636495510853,-0.27136277339411846,0.41143990674209735,0.012871,0.012321,0.013504,0.031417,-0.079572,-0.005852,0.000016,21
19,0.720524631321514,0.752824845010657,0.528025,0.720524631321514,19,0.019540708061756975,0.07276632792127312,-0.32595495856207435,0.36043174884376245,-0.2774743492692883,0.4059345386777106,0.012855,0.012329,0.013435,0.030247,-0.080814,-0.006068,0.000019,21
20,0.7207159188516422,0.752941634468462,0.525372,0.7207159188516422,20,0.02098565860190542,0.07330247336838738,-0.32466239031997685,0.3616888451483745,-0.2769767545685808,0.4063846394058938,0.012767,0.012245,0.013245,0.026172,-0.085330,-0.006268,0.000034,21
1,0.6798738305694347,0.7416033246065655,0.610462,0.6798738305694347,1,0.04914737063692785,0.08840483155152537,-0.29921011977922424,0.3859444302094458,-0.26288270170397854,0.4189971913413428,0.029540,0.021959,0.035312,0.075093,-0.005329,0.0,0.0,42
2,0.6996700642134757,0.7449804864280918,0.535016,0.6996700642134757,2,0.01215654559277279,0.09924951108788682,-0.33254029267659213,0.3539881905465851,-0.25266873129195494,0.4279759760868113,0.018556,0.016302,0.025626,-0.000397,-0.037901,0.0,0.0,42
3,0.7014577515056528,0.745515771443031,0.521307,0.7014577515056528,3,0.00685154217952089,0.0997318001480163,-0.33725073516927556,0.34933882625458923,-0.25221266238505363,0.4283737829393807,0.017216,0.016006,0.018396,-0.016486,-0.068110,0.0,0.0,42
